"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","KA1","EQD"
"04065099999","1916-01-20T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0028,1","+9999,9","09614,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0039,1",
"04065099999","1916-01-20T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","09666,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-20T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0028,1","+9999,9","09711,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0011,1",
"04065099999","1916-01-21T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","090,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09666,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0039,1",
"04065099999","1916-01-21T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","090,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09675,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-21T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","090,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09742,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0011,1",
"04065099999","1916-01-22T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","290,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","09778,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0050,1",
"04065099999","1916-01-22T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","290,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0028,1","+9999,9","09833,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-22T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","290,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0028,1","+9999,9","09934,2","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0011,1","Q01+099343APOSLP"
"04065099999","1916-01-23T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0190,1","99999,9,9,N","999999,9,N,9","+0000,1","+9999,9","09818,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0061,1",
